*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	Genotype	Phenotype	altitude	chem_administration	depth	elev	gravidity	host_age	host_blood_press_diast	host_blood_press_syst	host_body_habitat	host_body_product	host_body_temp	host_color	host_diet	host_disease	host_dry_mass	host_family_relationship	host_genotype	host_growth_cond	host_height	host_infra_specific_name	host_infra_specific_rank	host_last_meal	host_length	host_life_stage	host_phenotype	host_sex	host_shape	host_subject_id	host_substrate	host_taxid	host_tissue_sampled	host_tot_mass	isolation_source	misc_param	organism_count	oxy_stat_samp	perturbation	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	source_material_id	temp	description
2DSS__1			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
2DSS__2			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
2DSS__3			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
2DSS__5			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
2DSS__6			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
2DSS__7			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
2DSS__8			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
2DSS__9			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
2DSS__10			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
2DSS__11			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
2DSS__12			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
2DSS__13			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
2DSS__14			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
2DSS__16			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
2DSS__18			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
2DSS__19			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
2DSS__21			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
2DSS__23			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
2DSS__24			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
2DSS__25			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
2DSS__27			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
2DSS__28			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
2DSS__30			house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
3DSS__2			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
3DSS__7			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
3DSS__11			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
3DSS__16			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
3DSS__21			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
3DSS__22			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
3DSS__23			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
3DSS__24			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
3DSS__26			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
3DSS__27			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
3DSS__29			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
3DSS__30			house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
4DSS__1			house mouse	2014-08-06	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water																																																	
4DSS__6			house mouse	2014-08-06	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water																																																	
4DSS__16			house mouse	2014-08-06	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS																																																	
4DSS__23			house mouse	2014-08-06	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
4DSS__24			house mouse	2014-08-06	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS																																																	
